TAG_CODESPACE_AND_TAG_ID,TAG_ID,,,,,UTC_RELEASE_DATE_TIME,EST_TAG_LIFE,UTC_EXPIRATION_DATE_TIME,TAG_MODEL,TAG_TYPE,,,,,COMMON_NAME,SCIENTIFIC_NAME,RELEASE_LOCATION,,,,,,TAG_IMPLANT_TYPE,COMMENTS
A69-1601-30947,30947,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30946,30946,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30945,30945,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30944,30944,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30943,30943,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30942,30942,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30941,30941,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30940,30940,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30939,30939,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30938,30938,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30937,30937,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30936,30936,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30935,30935,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30934,30934,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30933,30933,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30932,30932,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30931,30931,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30930,30930,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30929,30929,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30928,30928,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30927,30927,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30926,30926,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,NCSU,Joe Hightower,,striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30327,30327,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30251,30251,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30250,30250,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30249,30249,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30248,30248,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30247,30247,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30246,30246,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30245,30245,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30244,30244,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30243,30243,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30242,30242,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30241,30241,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30240,30240,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30239,30239,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30238,30238,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-30237,30237,,,,,6/5/2012,879,11/1/2014,V13-1L,Standard,,Cornell University Cooperative Extension,Matthew Sclafani,,Horseshoe crab,Limulus polyphemus,"Morichees Bay, NY",,,,,,External Adhesive,
A69-1601-222,222,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,not provided,
A69-1601-221,221,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-220,220,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-219,219,,,,,6/24/2010,,9/11/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-218,218,,,,,6/24/2010,,9/11/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-202,202,,,,,8/6/2010,,10/24/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-201,201,,,,,8/6/2010,,10/24/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-200,200,,,,,8/6/2010,,10/24/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-199,199,,,,,8/6/2010,,10/24/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-198,198,,,,,8/6/2010,,10/24/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-197,197,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-196,196,,,,,9/10/2010,,11/28/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-195,195,,,,,8/11/2010,,10/29/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-194,194,,,,,8/11/2010,,10/29/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-193,193,,,,,8/11/2010,,10/29/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-192,192,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-191,191,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-190,190,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-189,189,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-188,188,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-187,187,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-186,186,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-185,185,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-184,184,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-183,183,,,,,10/5/2010,,12/23/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,White Perch,Morone americana,Great South Bay,,,,,,internal,
A69-1601-172,172,,,,,8/11/2010,,10/29/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,Blue Crab,Callinectes sapidus,Great South Bay,,,,,,internal,
A69-1303-58600,58600,,,,,7/10/2009,,7/8/2019,not provided,,A69-1303,UMAINE,Gayle Zydlewski,,sturgeon,Acipenser sp.,"Penobscot River, ME",,,,,,,
A69-1303-58599,58599,,,,,6/25/2009,,6/23/2019,not provided,,A69-1303,UMAINE,Gayle Zydlewski,,sturgeon,Acipenser sp.,"Penobscot River, ME",,,,,,,
A69-1303-58598,58598,,,,,7/3/2009,,7/1/2019,not provided,,A69-1303,UMAINE,Gayle Zydlewski,,sturgeon,Acipenser sp.,"Penobscot River, ME",,,,,,,
A69-1303-58597,58597,,,,,6/16/2009,,6/14/2019,not provided,,A69-1303,UMAINE,Gayle Zydlewski,,sturgeon,Acipenser sp.,"Penobscot River, ME",,,,,,,
A69-1303-58137,58137,A69-1105-173,173,,,8/16/2011,1580,12/13/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58136,58136,A69-1105-172,172,,,8/16/2011,1580,12/13/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58135,58135,A69-1105-171,171,,,9/15/2011,1580,1/12/2016,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58134,58134,A69-1105-170,170,,,8/16/2011,1580,12/13/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58132,58132,A69-1105-168,168,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58133,58133,A69-1105-169,169,,,9/15/2011,1580,1/12/2016,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58130,58130,A69-1105-166,166,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58128,58128,A69-1105-164,164,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58127,58127,A69-1105-163,163,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58126,58126,A69-1105-162,162,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58125,58125,A69-1105-161,161,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1303-58124,58124,A69-1105-160,160,,,8/15/2011,1580,12/12/2015,V16-6H,Pressure,,Delaware State University,Dewayne Fox,,sand tiger shark,Carcharius taurus,Delaware Bay,,,,,,Internal,
A69-1601-167,167,,,,,7/20/2010,,10/7/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,Blue Crab,Callinectes sapidus,Great South Bay,,,,,,external,
A69-1601-166,166,,,,,7/20/2010,,10/7/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,Blue Crab,Callinectes sapidus,Great South Bay,,,,,,external,
A69-1601-165,165,,,,,7/20/2010,,10/7/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,Blue Crab,Callinectes sapidus,Great South Bay,,,,,,external,
A69-1601-164,164,,,,,7/20/2010,,10/7/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,Blue Crab,Callinectes sapidus,Great South Bay,,,,,,external,
A69-1601-163,163,,,,,8/6/2010,,10/24/2011,V9-2L,,A69-1601,Stony Brook University,Keith Dunton,,Blue Crab,Callinectes sapidus,Great South Bay,,,,,,external,
A69-1322-59671,59671,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1322,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1321-59670,59670,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1321,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1320-59669,59669,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1320,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1319-59668,59668,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1319,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1318-59667,59667,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1318,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1317-59666,59666,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1317,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1316-59665,59665,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1316,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1315-59664,59664,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1315,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1314-59663,59663,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1314,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1313-59662,59662,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1313,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1312-59661,59661,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1312,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1311-59660,59660,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1311,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1310-59659,59659,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1310,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1309-59658,59658,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1309,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1308-59657,59657,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1308,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1307-59656,59656,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1307,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1306-59655,59655,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1306,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1305-59654,59654,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1305,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1304-59653,59653,,,,,6/3/2009,,9/30/2013,V16P-6H,,A69-1304,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,,
A69-1304-47598,47598,,,,,8/3/2010,,7/7/2015,V16-4L,,A69-1304,MA DMF,Greg Skomal,Jeff Kneebone,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,,
A69-1303-838,838,,,,,12/12/2011,195,6/24/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Pungo River, NC",,,,,,Internal,
A69-1303-7968,7968,,,,,3/12/2008,2920,3/10/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7967,7967,,,,,7/13/2009,2920,7/11/2017,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7966,7966,,,,,3/11/2008,2920,3/9/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7964,7964,,,,,9/6/2008,2920,9/4/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7963,7963,,,,,9/6/2008,2920,9/4/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7961,7961,,,,,3/12/2008,2920,3/10/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7960,7960,,,,,2/25/2008,2920,2/23/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7959,7959,,,,,2/25/2008,2920,2/23/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7958,7958,,,,,2/25/2008,2920,2/23/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7956,7956,,,,,3/11/2008,2920,3/9/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7955,7955,,,,,2/25/2008,2920,2/23/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7953,7953,,,,,2/25/2008,2920,2/23/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7952,7952,,,,,2/22/2008,2920,2/20/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7951,7951,,,,,2/26/2008,2920,2/24/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7950,7950,,,,,2/26/2008,2920,2/24/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7949,7949,,,,,2/22/2008,2920,2/20/2016,V16-6H,Standard,,Bimini Biological Field Station,Steven Kessel,,Lemon Shark,Negaprion brevirostris,"Jupiter, FL",,,,,,Internal,
A69-1303-7831,7831,,,,,1/31/2009,,3/1/2011,V16-4H,,A69-1303,ECU,Jennifer Cudney,,Spiny dogfish,Squalus acanthias,Kitty Hawk - NC/VA line,,,,,,,
A69-1303-7830,7830,,,,,1/31/2009,,3/1/2011,V16-4H,,A69-1303,ECU,Jennifer Cudney,,Spiny dogfish,Squalus acanthias,Kitty Hawk - NC/VA line,,,,,,,
A69-1303-7829,7829,,,,,1/31/2009,,3/1/2011,V16-4H,,A69-1303,ECU,Jennifer Cudney,,Spiny dogfish,Squalus acanthias,Kitty Hawk - NC/VA line,,,,,,,
A69-1303-7153,7153,,,,,2/4/2012,195,8/17/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Pungo River, NC",,,,,,Internal,
A69-1303-7152,7152,,,,,2/4/2012,195,8/17/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Pungo River, NC",,,,,,Internal,
A69-1303-7151,7151,,,,,1/19/2012,195,8/1/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Pungo River, NC",,,,,,Internal,
A69-1303-7150,7150,,,,,1/19/2012,195,8/1/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Pungo River, NC",,,,,,Internal,
A69-1303-7149,7149,,,,,1/19/2012,195,8/1/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Pungo River, NC",,,,,,Internal,
A69-1303-7148,7148,,,,,1/12/2012,195,7/25/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7147,7147,,,,,1/12/2012,195,7/25/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7146,7146,,,,,1/12/2012,195,7/25/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7145,7145,,,,,1/12/2012,195,7/25/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7144,7144,,,,,1/12/2012,195,7/25/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7143,7143,,,,,1/12/2012,195,7/25/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7142,7142,,,,,1/7/2012,195,7/20/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7141,7141,,,,,1/7/2012,195,7/20/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-7140,7140,,,,,1/7/2012,195,7/20/2012,V13-1H,Standard,,North Carolina State University,Tim Ellis,,Spotted seatrout,Cynoscion nebulosus,"Neuse River, NC",,,,,,Internal,
A69-1303-64090,64090,,,,,9/30/2010,,11/28/2013,V16-4H,,A69-1303,NCSU,Joe Hightower,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"Roanoke River, NC",,,,,,not provided,
A69-1303-64089,64089,,,,,9/29/2010,,11/28/2013,V16-4H,,A69-1303,NCSU,Joe Hightower,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"Roanoke River, NC",,,,,,not provided,
A69-1303-64088,64088,,,,,9/28/2010,,11/28/2013,V16-4H,,A69-1303,NCSU,Joe Hightower,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"Roanoke River, NC",,,,,,not provided,
